,Unnamed: 0,id,listing_url,scrape_id,last_scraped,source,name,description,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms,bathrooms_text,bedrooms,amenities,calendar_updated,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,neiborhood_overview,neighborhood_overview,host_acceptance_rate,host_listings_count,latitude,longitude,accommodates,bathrooms.1,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated.1,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neiborhood_overview.1
0,0,2056638,https://www.airbnb.com/rooms/2056638,20200000000000.0,30/03/23,city scrape,Amplio y luminoso loft en CoyoacÃ¡n,"CÃ³modo loft de dos pisos magnÃ­ficamente ubicado en un barrio que se disfruta, sobre todo, caminando. A pocos pasos del mercado, del Parque Nacional Viveros de CoyoacÃ¡n, de los museos de Frida Kahlo y de LeÃ³n Trotsky, y del centro de CoyoacÃ¡n.",https://a0.muscache.com/pictures/28353712/43792093_original.jpg,10531228,https://www.airbnb.com/users/show/10531228,Maria,09/12/13,"Mexico City, Mexico",--,within a day,f,https://a0.muscache.com/im/users/10531228/profile_pic/1387063773/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10531228/profile_pic/1387063773/original.jpg?aki_policy=profile_x_medium,CoyoacÃ¡n,['phone'],t,f,--,CoyoacÃ¡n,0.0,Entire loft,Entire home/apt,0.0,1.5 baths,1.0,"[""Wifi"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Essentials""]",0.0,t,30/03/23,03/01/14,24/06/18,--,f,--,0,0.0,3.0,19.35353,-99.16299,3.0,0.0,1.0,1434.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,0.0,19.0,49.0,324.0,21.0,0.0,0.0,4.95,4.71,4.95,5.0,4.95,5.0,4.86,3.0,3.0,0.0,0.0,0.19,--
21,21,131610,https://www.airbnb.com/rooms/131610,20200000000000.0,29/03/23,city scrape,MARIA DEL ALMA,"<b>The space</b><br />VIVE LA EXPERIENCIA DE COYOACAN EN UNA HERMOSA CASA CON JARDINES Y TERRAZA COMPARTIDAS, SEGURIDAD Y ATENCION FAMILIAR, EN LA ZONA MAS EMBLEMATICA DE LA CIUDAD RODEADA DE HISTORIA ( FRIDA KALHO, LEON TROSTKY, STA. CAATARINA, LA MALINCHE, LA CONCHITA, SAN JUAN BAUTISTA, MUJSEO DE LAS CULTURAS POPULARES ETC...) GASTRONOMIA MEXICANA",https://a0.muscache.com/pictures/837085/b9ed71bf_original.jpg,647454,https://www.airbnb.com/users/show/647454,Fernando,31/05/11,"Mexico City, Mexico",--,within a few hours,f,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_x_medium,CoyoacÃ¡n,['phone'],t,f,--,CoyoacÃ¡n,0.0,Private room,Private room,0.0,1 private bath,1.0,"[""Patio or balcony"", ""Wifi"", ""Breakfast"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Fire extinguisher"", ""Smoking allowed"", ""TV with standard cable"", ""Backyard"", ""Essentials""]",0.0,t,29/03/23,--,--,--,f,--,0,0.0,3.0,19.35416,-99.16488,2.0,0.0,1.0,1244.0,1.0,730.0,1.0,1.0,730.0,730.0,1.0,730.0,0.0,28.0,58.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,--
61,61,276504,https://www.airbnb.com/rooms/276504,20200000000000.0,30/03/23,previous scrape,High End Condo with golf package,"<b>The space</b><br />I own several weeks at high-end Mayan Palace resorts in Mexico. I am renting my weeks. They are studios or upscale hotel rooms.. Guest have access to the properties spa and fitness, pools, and golf packages. I will rent my interest in the timeshare at weekly basis. You can choose to stay at any of the properties( Acapulco, La Jolla De Cortes, Mazatlan,Puerto Vallarta, Riverea Maya ( Cancun/Playa de la Carmen), and Nuevo Vallarta.  See resort website, mayanpalace.com for more details",https://a0.muscache.com/pictures/2802432/4be1438a_original.jpg,1444589,https://www.airbnb.com/users/show/1444589,Michael,26/11/11,--,--,--,f,https://a0.muscache.com/im/users/1444589/profile_pic/1322337762/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1444589/profile_pic/1322337762/original.jpg?aki_policy=profile_x_medium,0,"['email', 'phone']",t,f,--,Iztacalco,0.0,Entire rental unit,Entire home/apt,0.0,1 bath,0.0,"[""Elevator"", ""Wifi"", ""Washer"", ""Kitchen"", ""Pool"", ""Air conditioning"", ""Gym"", ""Dryer"", ""TV"", ""Free parking on premises"", ""Hot tub""]",0.0,f,30/03/23,--,--,--,f,--,0,0.0,1.0,19.38061,-99.12729,2.0,0.0,1.0,1815.0,7.0,365.0,7.0,7.0,365.0,365.0,7.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,--
68,68,291804,https://www.airbnb.com/rooms/291804,20200000000000.0,30/03/23,city scrape,A nice room with great location,"<b>The space</b><br />The room offered has a double bed, i can cook breakfast free of charge, i can make a basic cleaning of the room and the refrigerator of the apartment can be used to storage your groceries. The kitchen is available for use if you want to cook but needs to be cleaned after every use. all the common areas of the apartment can be used by the guest. The wi-fi internet can also be used by the guest free of charge. <br />  <br />I live in a well located apartment in the south of mexico city. You are 15 minutes in walking distance from the bohemian Coyoacan, with bars, coffee shops and restaurants in every corner, and close to the blue house former home of Frida Kalho and Diego Rivera, now converted to Frida's Kahlo museum. <br /> <br />The apartment is also close to Plaza Universidad one of the most recognized malls in the city. Colonia del valle and Narvarte are also close, this neighborhoods have a cool nightlife for people who love relaxed atmospheres. There are many ",https://a0.muscache.com/pictures/3323620/a48d35c2_original.jpg,1511568,https://www.airbnb.com/users/show/1511568,Luis Ernesto,16/12/11,"Mexico City, Mexico","My name is Luis, I live in mexico city and I have a room with a double bed available, with access to the kitchen, washing machine, internet access to the entire department, I am very well located, between the center of Coyoacan , UNAM, historical center, I have also a metro station and public transport. I am a quiet person speaks English and French",--,f,https://a0.muscache.com/im/users/1511568/profile_pic/1324094239/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1511568/profile_pic/1324094239/original.jpg?aki_policy=profile_x_medium,Portales,"['email', 'phone']",t,f,--,Benito JuÃ¡rez,0.0,Private room in rental unit,Private room,0.0,1 bath,1.0,"[""Kitchen"", ""Smoking allowed"", ""Dryer"", ""Washer""]",0.0,t,30/03/23,--,--,--,f,--,0,0.0,1.0,19.36305,-99.15412,1.0,0.0,1.0,545.0,2.0,14.0,2.0,2.0,14.0,14.0,2.0,14.0,0.0,30.0,60.0,90.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,--
70,70,298873,https://www.airbnb.com/rooms/298873,20200000000000.0,30/03/23,previous scrape,"The ""home"" feeling in Mexico City!","<b>The space</b><br />NEW!!! - WIFI in the apartment! <br /> <br />OVERVIEW <br /> <br />Apartment in a new, award winning building (2006) at the heart of Mexico City. Ideally located near Reforma Avenue and two metro stations. Nice area to explore by foot: restaurants, shopping, museums and XVI century architecture for the History inclined! Enjoy the comfort of home away from home: Quiet and luminous apartment, hardwood floors, minimalistic furniture, internet. <br /> <br />AMENITIES <br /> <br />     â Fans available. <br />     â 2 full bathrooms (one in-suite, in Master room) <br />     â Linen provided: bedding and towels.  <br />     â Two elevators â 24 hours porter â Indoor parking place. <br />     â Laundry / dry cleaning: access in the lobby (extra). <br />     â Gym <br />     â Indoor swimming pool (swimming cap compulsory, can be    <br />        provided). Showers available in changing room. <br />     â Wheelchair Accessible. <br />     â Cleaning service once a week wi",https://a0.muscache.com/pictures/9032323/9bdb53f0_original.jpg,1539548,https://www.airbnb.com/users/show/1539548,Paulina,27/12/11,Switzerland,"Hi, I am a photographer/journalist, who loves to travel and appreciates a nice comfortable place to stay, so that is the idea behind my apartment: to offer a clean, luminous and open space for visitors to relax after exploring Mexico City. If you have any questions, please feel free to ask .",--,f,https://a0.muscache.com/im/users/1539548/profile_pic/1325023318/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1539548/profile_pic/1325023318/original.jpg?aki_policy=profile_x_medium,Centro HistÃ³rico,"['email', 'phone']",t,f,--,CuauhtÃ©moc,0.0,Entire rental unit,Entire home/apt,0.0,2 baths,2.0,"[""Elevator"", ""Wifi"", ""Oven"", ""Iron"", ""Washer"", ""Host greets you"", ""Hangers"", ""Hot water"", ""Kitchen"", ""Pool"", ""TV with standard cable"", ""Dryer"", ""Stove"", ""Gym"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Essentials""]",0.0,t,30/03/23,19/04/12,03/11/19,--,f,--,0,0.0,1.0,19.43358,-99.14452,4.0,0.0,2.0,1362.0,3.0,180.0,3.0,3.0,180.0,180.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,4.78,4.87,4.88,4.89,4.73,4.9,4.8,1.0,1.0,0.0,0.0,0.89,--
76,76,325812,https://www.airbnb.com/rooms/325812,20200000000000.0,29/03/23,city scrape,"Confortable private room, downtown Mexico City.","(only women) WELCOME to an EXCELLENT LOCATION IN THE AUTHENTIC HEART OF THE CITY (culture, commerce, amusement day & night etc). Modern and very safe condominium and zone. Private room with bathroom  inside the room. One confortable double bed.<br /><br /><b>The space</b><br />ENGLISH: We are in downtown, Mexico City, world patrimony declared by UNESCO ...the true unlimited HEART of Mexico, (cultural, financial, gastronomic, commercial, etc.) Hightly safe in most of its zones. Tourists and natives are all day around enjoying or walking to their job. <br />My flat is located in a beautiful modern building. Enjoy a private comfortable room full of light, with private bathroom inside. Wireless internet.<br />Nowadays, many travelers are explorers of natural and cultural wealth. They establish new links and value the transformations that their adventures generate in their lives. This place, this room, is aimed specially at this audience, from teenagers to seniors.<br /><br />ESPAÃOL: Â¡Esta",https://a0.muscache.com/pictures/81f2a2a5-0ac6-40e7-b04f-9f68a1e0c922.jpg,1666388,https://www.airbnb.com/users/show/1666388,Angeles (Anjali),28/01/12,"Mexico City, Mexico","ENGLISH: I love to travel and have been fortunate to travel all around the world.  I give total independence to guests, but if they are communicative, I gladly correspond. I work independently and also collaborate externally in a private university.  My agenda is variable, I have no routines. Among my habits: I do not smoke, drink alcohol or take any drugs, I am vegetarian. 
ESPAÃOL: Me encanta viajar y he tenido la suerte de viajar por todo el mundo. 
Doy total independencia a los huÃ©spedes, pero si ellos son comunicativos, trato de corresponder. Trabajo de forma independiente y tambiÃ©n colaboro externamente en una universidad privada. Mi agenda es variable, no tengo rutinas. Entre mis hÃ¡bitos: no fumo, bebo alcohol o tomo drogas,. Soy vegetariana. ",within a day,f,https://a0.muscache.com/im/users/1666388/profile_pic/1396665466/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1666388/profile_pic/1396665466/original.jpg?aki_policy=profile_x_medium,Centro HistÃ³rico,"['email', 'phone']",t,f,"Mexico City, Federal District, Mexico",CuauhtÃ©moc,0.0,Private room in condo,Private room,0.0,1 private bath,1.0,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Essentials"", ""Mini fridge"", ""Iron"", ""Hot water"", ""Paid street parking off premises"", ""Lock on bedroom door"", ""Pocket wifi"", ""Hair dryer"", ""Elevator"", ""Portable fans"", ""Hangers"", ""Fire extinguisher"", ""First aid kit"", ""Books and reading material"", ""Bed linens"", ""Wifi"", ""Portable heater"", ""Clothing storage: closet"", ""Body soap"", ""Shampoo""]",0.0,t,29/03/23,16/02/14,19/09/20,--,f,"NEIGHBORHOOD: Super interesting!!! Walking through the centuries-old streets you will discover a large number of museums, monuments, historic buildings and cultural centers, and a variety of restaurants, shops and other attractions. It is an endless and fascinating experience.<br />EL BARRIO: Â¡Â¡SÃºper interesante!! Caminando por sus aÃ±ejas calles se puede descubrir un gran nÃºmero de museos, monumentos, edificios histÃ³ricos y centros culturales, y una variedad de restaurantes, tiendas y otras atracciones. Es una experiencia interminable y fascinante.","NEIGHBORHOOD: Super interesting!!! Walking through the centuries-old streets you will discover a large number of museums, monuments, historic buildings and cultural centers, and a variety of restaurants, shops and other attractions. It is an endless and fascinating experience.<br />EL BARRIO: Â¡Â¡SÃºper interesante!! Caminando por sus aÃ±ejas calles se puede descubrir un gran nÃºmero de museos, monumentos, edificios histÃ³ricos y centros culturales, y una variedad de restaurantes, tiendas y otras atracciones. Es una experiencia interminable y fascinante.",0.0,1.0,19.43319,-99.14665,1.0,0.0,1.0,457.0,4.0,10.0,4.0,4.0,10.0,10.0,4.0,10.0,0.0,12.0,42.0,72.0,162.0,107.0,0.0,0.0,4.78,4.79,4.85,4.86,4.86,4.93,4.78,1.0,0.0,1.0,0.0,0.96,"NEIGHBORHOOD: Super interesting!!! Walking through the centuries-old streets you will discover a large number of museums, monuments, historic buildings and cultural centers, and a variety of restaurants, shops and other attractions. It is an endless and fascinating experience.<br />EL BARRIO: Â¡Â¡SÃºper interesante!! Caminando por sus aÃ±ejas calles se puede descubrir un gran nÃºmero de museos, monumentos, edificios histÃ³ricos y centros culturales, y una variedad de restaurantes, tiendas y otras atracciones. Es una experiencia interminable y fascinante."
88,88,350079,https://www.airbnb.com/rooms/350079,20200000000000.0,30/03/23,city scrape,beautiful furnished room Rome area,"<b>The space</b><br />Beautiful and big furnished room, very spacious, sunny and safe, all furnished inclusive ,  for a person in each room, has cable TV and internet wifi connection, in the best area of ââthe city, Col Roma sur area , Within walking distance of the Condesa area, nearby meters , in an old historic building, grocerys , cafes and restaurants availabels in the same street. <br /> <br />Hermosa , cÃ©ntrica , soleada y enorme  habitaciÃ³n para una persona en la Col Roma sur ,en edificio pintoresco , antiguo e histÃ³rico . <br />zona super segura,   a unos pasos de la Col Condesa ,  <br />Incluye todos los servicios , luz , gas agua ,  Internet wifi , televisiÃ³n por cable ,  <br />ropa de cama , toallas , se puede ocupar la cocina y Ã¡reas comunes . <br />Muy cerca  de metro y metrobus a unos pasos .  <br />restaurantes , supermercados , hospitales ,  cafÃ©s en la misma calle .",https://a0.muscache.com/pictures/3875519/b11cd59f_original.jpg,1773936,https://www.airbnb.com/users/show/1773936,Elizabeth,19/02/12,"Mexico City, Mexico","IM 40 YEARS OLD LESBIAN WOMAN , WHO LOVE TO LIVE IN MEXICO CITY  Â¡Â¡Â¡Â¡",--,f,https://a0.muscache.com/im/users/1773936/profile_pic/1329664886/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1773936/profile_pic/1329664886/original.jpg?aki_policy=profile_x_medium,Roma Sur,"['email', 'phone']",t,f,--,CuauhtÃ©moc,0.0,Private room in rental unit,Private room,0.0,1 bath,1.0,"[""Kitchen"", ""Smoking allowed"", ""Wifi"", ""TV""]",0.0,t,30/03/23,--,--,--,f,--,0,0.0,1.0,19.40639,-99.16686,1.0,0.0,1.0,1006.0,5.0,180.0,5.0,5.0,180.0,180.0,5.0,180.0,0.0,30.0,60.0,90.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,--
107,107,1170780,https://www.airbnb.com/rooms/1170780,20200000000000.0,30/03/23,city scrape,"Renew Room, near to Condesa","<b>The space</b><br />We're a family used to have national & international guests and friends, givin' them advice, honest frienship and self space. We trust people values so our policies are laissez-faire and our atmosphere is nice and warm, our commitment to the comfort and well-being of our guests is solid rock. <br /> <br />This one a lovely studio room just renovated at 1st floor, quiet, very illuminated,  centric zone near La Condesa, La Roma, two blocks from the subway and main streets. And 10 to 20 minutes to important universities like Universidad La Salle, Universidad Panamericana, UNAM & half hour to Universidad Iberoamericana. <br /> <br />Each of our two rooms is appointed with new mattresses, 400 or higher thread-count sheets, egipcian cotton towels, iron, full closet, flat screen with cable TV and shared full bathroom equipped with washing & dryer machines.  <br />We have WiFi set up so you can enjoy all this and still stay in touch with the office or home, if you must. <",https://a0.muscache.com/pictures/20722616/87926f42_original.jpg,6409883,https://www.airbnb.com/users/show/6409883,Pato,15/05/13,"Mexico City, Mexico","Soy Paco, de la Ciudad de MÃ©xico y ayudo a mi madre a rentar sus habitaciones. Como familia, estamos a recibir huÃ©spedes extranjeros que han conocido mis hermanos en sus viajes. Nos encanta la hospitalidad y el contacto con la gente, en especial con los jÃ³venes a quien podamos ayudar a tener una gran estancia en MÃ©xico.",--,f,https://a0.muscache.com/im/users/6409883/profile_pic/1368647594/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6409883/profile_pic/1368647594/original.jpg?aki_policy=profile_x_medium,San Pedro De Los Pinos,"['email', 'phone', 'work_email']",t,f,--,Benito JuÃ¡rez,0.0,Private room in rental unit,Private room,0.0,1 shared bath,1.0,"[""Wifi"", ""Washer"", ""Free street parking"", ""Hot water"", ""Shampoo"", ""Kitchen"", ""Lock on bedroom door"", ""TV with standard cable"", ""Dryer"", ""Host greets you"", ""Essentials""]",0.0,t,30/03/23,16/03/14,28/04/19,--,f,--,0,0.0,2.0,19.39129,-99.1888,2.0,0.0,1.0,381.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,0.0,0.0,0.0,0.0,137.0,17.0,0.0,0.0,4.94,5.0,5.0,4.94,5.0,4.56,4.81,2.0,0.0,2.0,0.0,0.15,--
111,111,454077,https://www.airbnb.com/rooms/454077,20200000000000.0,29/03/23,city scrape,Explore the City's Historic Center,"<b>The space</b><br />I'm Sharing my apartment!! You can stay at  a completely private room and will receive a key to the room. It has all the services included: electricity, hot water, Wi-Fi internet, Shared bathroom, kitchen with electric grill and microwave oven, laundry room with washing machine  ... there are two parking lots next to the premises. A lot of local markets and supermarkets around. Restaurants, banks, convenient stores and pharmacies at walking distance. Public transportation is widely avilable with Taxis, buses,""pecero"" and metro (subway) Pino Suarez ans Isabel la Catolica stations.  <br /> <br />The apartment is located in Colonia centro in Mexico City. This neighborhood  just seven blocks from the Zocalo square in the heart of the historic center of Mexico City. From my apartment you can discover all the beautiful architecture that surrounds this neighborhood such as: The Metropolitan Cathedral of the Assumption of Mary of Mexico City, The national Palace and the w",https://a0.muscache.com/pictures/5573168/9f73be98_original.jpg,2256144,https://www.airbnb.com/users/show/2256144,Fernanda,30/04/12,"Mexico City, Mexico","Algunas caracterÃ­sticas personales son las siguientes:

Soy profesora de educaciÃ³n primaria, me agrada mi trabajo porque en la convivencia con los niÃ±os tengo la oportunidad de aprender de ellos, y tengo la oportunidad de seguir redescubriendo aprendizajes.. 

De caracter agradable, sincera, honesta, responsable, y me desagradan aspectos contrarios a estos... Me agrada la convivencia armÃ³nica con el entorno, admiro la naturaleza, y me encanta salir a caminar a lugares naturales.



En mi dieta incluyo alimentos saludables como ensaladas, vegetales, mariscos, fruta, cereales, lacteos...

Tambien de vez en cuando voy al cine, me gusta pintar, oir musica, bailar, tomas fotos...

Me gusta viajar, de preferencia en grupo, conocer culturas diferentes e intercambiar aprendizajes.
El hospedaje es un espacio acojedor, en el cual hay que mantener lo mÃ¡s posible el orden y las cosas en su lugar, mantener limpio el lugar tanto el dormitorio como las Ã¡reas en comÃºn.

Uno de mis lemas favoritos es: ""PAZ Y BIEN"".

Something about me:
I am a school teacher, I like my job because by teaching sharing most of my time with children I have the opportunity to learn from them, and I have the opportunity to continue rediscovering life..
I have a pleasant character and consider myself sincere, honest, responsible, and I dislike aspects contrary to these ... I like living in harmony with the environment, admire nature, and I love going for walks to natural places.
In my diet i include healthy foods like salads, vegetables, seafood, fruit, cereals, dairy ...
Also occasionally go to the movies, I like painting, music, dance, take pictures ...
I like to travel, preferably in groups, discover different cultures, meet and share learning.
The lodge is a cozy space, which must be maintained in order as much as possible and keep things in place, keep the place clean both the bedroom and common areas.
One of my favorite mottos is: ""Paz y Bien"".",--,f,https://a0.muscache.com/im/users/2256144/profile_pic/1341773515/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2256144/profile_pic/1341773515/original.jpg?aki_policy=profile_x_medium,Centro HistÃ³rico,"['email', 'phone']",t,f,--,CuauhtÃ©moc,0.0,Private room in rental unit,Private room,0.0,--,1.0,[],0.0,t,29/03/23,11/06/14,16/09/17,--,f,--,0,0.0,1.0,19.42454,-99.13845,1.0,0.0,1.0,457.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,30.0,60.0,90.0,365.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.5,1.0,0.0,1.0,0.0,0.02,--
129,129,2516668,https://www.airbnb.com/rooms/2516668,20200000000000.0,30/03/23,city scrape,Room in new apartment of 1250ftÂ²,I share one room in the central zone of Narvarte in Mexico City.,https://a0.muscache.com/pictures/33261387/e0585287_original.jpg,3729922,https://www.airbnb.com/users/show/3729922,Pedro,01/10/12,"Mexico City, Mexico",Professional,--,f,https://a0.muscache.com/im/users/3729922/profile_pic/1349134625/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3729922/profile_pic/1349134625/original.jpg?aki_policy=profile_x_medium,0,['phone'],t,f,--,Benito JuÃ¡rez,0.0,Private room in rental unit,Private room,0.0,1 bath,1.0,"[""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""TV with standard cable"", ""Free parking on premises""]",0.0,t,30/03/23,--,--,--,f,--,0,0.0,1.0,19.39507,-99.15226,1.0,0.0,1.0,350.0,30.0,150.0,30.0,30.0,150.0,150.0,30.0,150.0,0.0,30.0,60.0,90.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,--
